Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Bai Chongxi;5025001;CYN;1937;1937;1937;1990;1;8;20;4;0;3;0;L50247;1937;1966;1999;x
Zhang Zhen;5025002;CYN;1938;1942;1990;1990;2;3;0;0;0;3;0;L50001;1938;1981;1999;x
Zhang Zhen;5025003;CYN;1931;1942;1990;1990;2;3;0;1;0;3;0;L50002;1931;1981;1999;x
Zhang Chi;5025004;CYN;1930;1990;1990;1990;3;4;0;0;0;3;0;L50003;1930;1970;1999;x
Zhang Zhizhong;5025005;CYN;1923;1927;1928;1990;1;4;0;1;0;3;0;L50004;1923;1969;1999;x
Chang Enduo;5025006;CYN;1930;1990;1990;1990;3;3;0;0;0;2;0;L50005;1930;1970;1999;x
Zhang Fakui;5025007;CYN;1914;1923;1930;1990;1;4;2;1;0;3;0;L50006;1914;1970;1999;x
Zhang Fang;5025008;CYN;1917;1930;1937;1990;1;3;0;0;0;3;0;L50007;1917;1966;1999;x
Zhang Xuxing;5025009;CYN;1930;1990;1990;1990;3;3;0;0;0;4;0;L50008;1930;1939;1999;x
Zhang Xuzi;5025010;CYN;1944;1990;1990;1990;3;4;256;0;0;4;0;L50009;1944;1970;1999;x
Zhang Xuezhong;5025011;CYN;1936;1999;1999;1999;3;3;0;0;0;3;0;L50010;1936;1995;1999;x
Zhang Xueliang;5025012;CYN;1932;1938;1940;1941;1;5;4;3;0;3;0;L50011;1930;2001;2002;x
Zhang Gan;5025013;CYN;1937;1938;1990;1990;2;3;0;0;0;4;0;L50012;1937;1957;1999;x
Zhang Kexia;5025014;CYN;1937;1949;1990;1990;3;3;0;0;0;4;0;L50013;1937;1984;1999;x
Zhang Lingfu;5025015;CYN;1937;1940;1990;1990;2;4;4;1;0;4;0;L50014;1937;1947;1999;x
Zhang Shixi;5025016;CYN;1930;1990;1990;1990;3;3;0;0;0;4;0;L50015;1930;1956;1999;x
Zhang Zizhong;5025017;CYN;1932;1933;1990;1990;2;4;4;1;0;3;0;L50016;1938;1969;1999;x
Zhang Dulun;5025018;CYN;1917;1940;1990;1990;2;3;1;0;0;4;0;L50017;1917;1958;1999;x
Zhang Yan;5025019;CYN;1941;1990;1990;1990;3;3;4;0;0;4;0;L50018;1941;1970;1999;x
Zhang Yaoming;5025020;CYN;1937;1939;1990;1990;2;3;0;0;0;4;0;L50019;1937;1972;1999;x
Zhang Yinwu;5025021;CYN;1937;1990;1990;1990;3;3;0;0;0;4;0;L50020;1937;1948;1999;x
Zhao Chengshou;5025022;CYN;1937;1937;1990;1990;2;4;0;0;0;4;0;L50021;1937;1966;1999;x
Zhao Jiaxiang;5025023;CYN;1937;1945;1990;1990;2;3;0;0;0;4;0;L50022;1937;1958;1999;x
Zhao Xizhang;5025024;CYN;1936;1990;1990;1990;3;3;0;0;0;4;0;L50023;1936;1938;1999;x
Zhao Hong Wenguo;5025025;CYN;1930;1930;1990;1990;2;3;16;1;0;4;0;L50024;1930;1949;1999;x
Zhao Guoping;5025026;CYN;1930;1990;1990;1990;3;3;0;0;0;4;0;L50025;1930;1942;1999;x
Zhao Shoushan;5025027;CYN;1937;1940;1990;1990;2;4;0;1;0;2;0;L50026;1937;1965;1999;x
Zhao Dengyu;5025028;CYN;1935;1990;1990;1990;3;4;4;0;0;4;0;L50027;1935;1938;1999;x
Chen Anbao;5025029;CYN;1930;1939;1990;1990;3;4;0;1;0;4;0;L50028;1930;1970;1999;x
